occ_title,white,black,asian,hispanic,annual_salary
Industrial Production Managers,87.2,5.4,5.5,10.9,115110
Bus and Truck Mechanics and Diesel Engine Specialists,87.3,6.5,3.7,14.1,50360
Electricians,87.4,6.8,2.6,21.1,60370
"Painters, Construction and Maintenance",87.4,8.1,0.6,55.5,44640
Roofers,87.7,5.2,0.7,50.7,45820
Food Batchmakers,87.9,7.3,1.6,36.2,33120
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",88,7.5,1.1,28.1,52340
First-Line Supervisors of Construction Trades and Extraction Workers,88,7.5,1.2,24.8,71440
Dental Hygienists,88.2,5.1,5,11.3,77230
Cabinetmakers and Bench Carpenters,88.2,7.7,1.1,21.3,37620
Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,88.3,6,2.6,15.8,53140
Chief Executives,88.8,4.1,5.8,6.2,193850
"Sales Representatives, Wholesale and Manufacturing",88.8,5.9,3.9,10.9,75180
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",88.8,1.2,1.3,28.4,52520
Millwrights,88.9,7.9,1.8,10.3,57050
Carpenters,89.1,5.1,1.5,37.3,52850
Sheet Metal Workers,89.1,6.7,2.3,28.9,54480
First-Line Supervisors of Police and Detectives,89.2,7.6,0.4,5.6,94950
Fundraisers,89.3,5.1,2.5,5.2,62830
"Farming, Fishing, and Forestry Occupations",89.3,4.4,1.8,47.6,31340
Advertising and Promotions Managers,89.5,0.7,7,9,141890
"Cement Masons, Concrete Finishers, and Terrazzo Workers",89.5,4.4,1.1,53.5,48450
"Religious Workers, All Other",89.6,5.1,4.7,8.3,39830
Writers and Authors,89.6,5.9,3.4,4.8,73860
Public Relations and Fundraising Managers,89.8,8,0.4,1.4,132630
Veterinarians,89.8,0,6.1,1.6,104820
Electrical Power-Line Installers and Repairers,89.8,3,0.6,15.4,71960
Psychologists,89.9,5.8,3.5,10.3,88770
Cost Estimators,90,3.1,5.8,8.1,71350
Crane and Tower Operators,90.1,6.3,0,10.6,60530
Drafters,90.8,3.5,2.7,14.7,59480
"Carpet, Floor, and Tile Installers and Finishers",90.8,5.1,0.5,59.7,46680
Construction Managers,90.9,3.5,2.5,13.9,105000
"Drywall Installers, Ceiling Tile Installers, and Tapers",91.1,2.5,1.7,67.7,52190
Editors,91.3,3,2.4,10.6,71910
"Brickmasons, Blockmasons, and Stonemasons",91.6,5.2,1.2,37.7,55040
Insulation Workers,91.8,5.9,1.4,43.3,49090
"Directors, Religious Activities and Education",92.3,5.1,2.3,13.4,50490
Automotive Body and Related Repairers,92.4,3.4,1.8,29.6,47390
Miscellaneous Agricultural Workers,92.5,2.6,1.2,54,28510
Speech-Language Pathologists,93.7,3.9,2.2,6.7,82000
Aircraft Pilots and Flight Engineers,93.7,2.6,3.4,2.2,152610
Tool and Die Makers,95.1,3.7,0.3,3.4,54980
"Farmers, Ranchers, and Other Agricultural Managers",96.6,0.9,1,5.7,80360
Veterinary Assistants and Laboratory Animal Caretakers,97.2,2.1,0.4,3.7,29690
